Empfangszeit;Det.;Lfd.Nr.;Status;Klasse;Länge;Höhe;v;FR;Brutto;Netto;Belegt
27.11.2020 17:36:23.559;M0114.2;38645;0;Pw (3);415;L;75.0;P;1.1;0.8;
27.11.2020 17:36:22.510;M0114.2;38644;0;Pw (3);445;L;72.0;P;1.9;1.6;
27.11.2020 17:36:20.668;M0114.2;38642;0;Pw (3);431;L;62.1;P;3.6;3.2;
27.11.2020 17:36:17.128;M0114.2;38640;0;Pw (3);474;L;64.3;P;2.1;1.7;
27.11.2020 17:36:15.129;M0114.2;38637;0;Lfw (5);702;L;66.7;P;7.9;7.6;
27.11.2020 17:36:07.048;M0114.2;38630;0;Pw (3);391;L;62.1;P;3.0;2.6;
27.11.2020 17:36:04.328;M0114.1;38629;0;Pw (3);430;L;60.0;P;31.7;31.4;
27.11.2020 17:36:04.149;M0114.2;38628;0;Pw (3);458;L;56.3;P;1.5;1.1;
27.11.2020 17:36:02.599;M0114.2;38626;0;Pw (3);391;L;58.1;P;2.9;2.6;
27.11.2020 17:35:59.649;M0114.2;38623;0;Pw (3);384;L;60.0;P;3.6;3.2;
27.11.2020 17:35:56.089;M0114.2;38619;0;Pw (3);384;L;60.0;P;1.6;1.2;
27.11.2020 17:35:54.566;M0114.2;38617;0;Pw (3);385;L;54.5;P;3.6;3.2;
27.11.2020 17:35:50.949;M0114.2;38613;0;Pw (3);430;L;60.0;P;7.3;7.0;
27.11.2020 17:35:43.519;M0114.2;38607;0;Pw (3);398;L;66.7;P;3.2;2.9;
27.11.2020 17:35:40.439;M0114.2;38604;0;Pw (3);423;L;60.0;P;7.2;6.9;
27.11.2020 17:35:33.099;M0114.2;38600;0;Pw (3);411;L;62.1;P;0.9;0.5;
27.11.2020 17:35:32.559;M0114.1;38599;0;Pw (3);420;L;66.7;P;2.3;1.9;
27.11.2020 17:35:32.249;M0114.2;38598;0;Pw (3);445;L;62.1;P;5.1;4.7;
27.11.2020 17:35:30.319;M0114.1;38597;0;Pw (3);465;L;62.1;P;2.0;1.6;
27.11.2020 17:35:28.379;M0114.1;38596;0;Pw (3);421;L;56.3;P;6.2;5.9;
27.11.2020 17:35:27.148;M0114.2;38593;0;Pw (3);398;L;64.3;P;3.5;3.3;
27.11.2020 17:35:23.529;M0114.2;38590;0;Pw (3);391;L;69.2;P;7.1;6.8;
27.11.2020 17:35:22.098;M0114.1;38588;0;Pw (3);436;L;60.0;P;3.3;3.0;
27.11.2020 17:35:18.719;M0114.1;38585;0;Pw (3);432;L;64.3;P;4.5;4.2;
27.11.2020 17:35:16.529;M0114.2;38582;0;Pw (3);391;L;66.7;P;15.7;15.3;
27.11.2020 17:35:14.229;M0114.1;38581;0;Pw (3);357;L;62.1;P;5.1;4.7;
27.11.2020 17:35:09.199;M0114.1;38577;0;Pw (3);488;L;64.3;P;23.2;22.8;
27.11.2020 17:35:00.880;M0114.2;38571;0;Pw (3);453;L;72.0;P;2.5;2.2;
27.11.2020 17:34:58.359;M0114.2;38570;0;Pw (3);384;L;64.3;P;1.8;1.4;
27.11.2020 17:34:56.739;M0114.2;38569;0;Pw (3);453;L;64.3;P;11.7;11.3;
27.11.2020 17:34:45.928;M0114.1;38565;0;Pw (3);488;L;75.0;P;3.7;3.4;
27.11.2020 17:34:44.948;M0114.2;38564;0;Pw (3);424;L;62.1;P;6.5;6.1;
27.11.2020 17:34:42.248;M0114.1;38562;0;Pw (3);438;L;72.0;P;35.6;35.2;
27.11.2020 17:34:38.438;M0114.2;38561;0;Pw (3);439;L;64.3;P;2.3;1.9;
27.11.2020 17:34:36.168;M0114.2;38560;0;Pw (3);469;L;60.0;P;1.6;1.2;
27.11.2020 17:34:34.588;M0114.2;38559;0;Pw (3);428;L;58.1;P;1.9;1.5;
27.11.2020 17:34:32.698;M0114.2;38557;0;Pw (3);432;L;54.5;P;3.9;3.4;
27.11.2020 17:34:28.867;M0114.2;38553;0;Lfw (5);586;L;62.1;P;8.1;7.7;
27.11.2020 17:34:20.648;M0114.2;38546;0;Pw (3);391;L;62.1;P;2.6;2.2;
27.11.2020 17:34:18.048;M0114.2;38544;0;Pw (3);458;L;62.1;P;1.7;1.3;
27.11.2020 17:34:16.483;M0114.2;38543;0;Pw (3);495;L;60.0;P;4.6;4.2;
27.11.2020 17:34:11.778;M0114.2;38539;0;Pw (3);473;L;69.2;P;5.6;5.3;
